id,restaurant_id,work_hour
204,ed90e465-7618-4135-8ae6-b9edc9160710,12-15-19-22
205,5f7abfe6-7346-4443-a0b1-04a1fabbd266,Dec-22
206,03a95e3d-60fe-4de4-a6df-60c9d62dc753,11:30-24
207,dc710b64-ac3d-4663-84cf-3d3cc1884c51,12-15/19-22:30
208,3bae6c93-1160-4e58-8041-75a15c546de8,Nov-23
209,84421e48-df1a-49a6-a77a-2b65ad26d86d,Dec-23
210,3e775cdc-2e20-4492-b5d7-dfb7db07007f,Nov-24
211,4dc663ec-5e19-4ea3-baa4-d5165aa3c736,Dec-24
212,9f5086b7-833d-4093-a375-a171f82a2a48,Dec-24
213,87f898fa-1b50-4c26-96a7-e9c0fafa95b6,Dec-23
214,988bf1ea-66bc-42a9-beb3-cbc4796e890c,Oct-23
215,b3ddd3fb-5710-4b1a-b912-bca8be3c5b7c,Oct-23
216,aad3ad4b-2cac-41a5-a4de-d6863a7beb4f,Sep-24
217,41aed017-37e9-4798-9304-19c3b2ff9909,20-24
218,a9663187-ee15-49d4-9eb2-9f97d49ef462,Dec-24
219,74628978-1e42-43b7-9ca4-645c72b03078,11:30-23
220,754b386f-7d3a-45e4-8177-846de2f418e6,Dec-24
221,b1f68e85-77ca-4fa9-a1c8-7d15a203f8cf,رستوران
222,aaf27dd2-43c7-458a-ab12-2e5f79faf1cd,17-24
223,27c5cfc8-b3eb-41f7-8916-96d2fe8c3c8b,Dec-24
224,8f57dcd4-640f-4627-9a98-6b733332eaa3,Sep-23
225,080692be-6f0e-409c-91d2-ffd768dc6c6b,Nov-24
226,12e0b797-88d6-4b0f-8409-e43bf60ae11b,Dec-23
227,02e8893a-e839-4869-8d5c-202970f2e85e,Dec-23
228,1aeaefd4-172a-4e9e-9d31-9241be52c838,06-Oct
229,70421f6f-adb5-4e58-b513-d15b0320f5dc,Dec-24
230,f35a6eef-98ee-45ae-8efa-514878e81ba5,Dec-24
231,04d58c2c-f424-4e55-bc09-374e97639729,Nov-24
232,ac77962f-71b5-46d1-868d-152b83739d24,12-15/18-23
233,4624c65f-d956-4c9f-a891-91f8137bf7a0,9:45-24
234,400cf2cf-c719-447b-a759-3722e54b7b46,Mar-22
235,7481f3f7-1af6-49dc-818a-efa26b7644c2,19-23
236,fd3629a9-6c2c-44aa-ac08-1d55a7aef730,Nov-18
237,82e40563-17fe-40ca-aa09-909edcf14f9d,Nov-22
238,45c9b51d-6384-4b4b-a70b-35cad48fa8d0,19:30-24
239,67f154db-4ff9-4c3d-b91f-0f7aaf299a2c,Aug-23
240,9f7d5a43-a44e-4a39-8ed4-6b9be6cab230,18-23
241,84fe7e46-838f-417d-9eea-ef82a58c1859,Sep-24
242,3e17be22-94de-450f-8d44-425811aa9f11,12-16/19-23
243,7d4fe31b-9ede-4272-9bea-915656491682,Nov-24
244,0db47d9b-ae1d-4055-b460-9c30b6c9b25a,Dec-24
245,b14e9a6a-e51e-4758-b211-9df68f52ab87,12-15/17-23
246,b3ab149c-ac86-4d7d-b38e-8d2336785999,Dec-23
247,f6d745eb-7042-47bf-9bfc-044335deefcc,Dec-24
248,c3fc9b09-7b10-4c53-8805-d8af0efe5ba2,12-22:30
249,db248c3a-d5e9-4560-af04-0e21da470f36,Oct-22
250,8c3b022f-ab7e-4a08-bc9c-2999ffc26282,11-23:30
251,28875914-00bd-40ef-b8f8-5ecb5ca18fd1,Sep-22
252,b64fc0d2-ac9a-47f1-b9f1-10fe1086584e,Dec-24
253,7079326d-8ce4-426e-8c02-18f8bf89f490,Nov-23
254,acd890db-8e3b-47a3-a388-b9c95c39c074,11-23:30
255,761d5f0c-d64f-4193-9aa9-6d8a27ad500d,8:30-23
256,59371942-1afa-4764-8136-4e7fa5126e1c,12:30-15/19:30-24
257,aa8e7221-e856-4906-b830-05d56a099fb9,Dec-24
258,8e8ed75b-ea09-4f38-b65a-cb75d7cb23cb,11:30-24
259,a209c15f-0396-40b4-87c8-316ca7de2508,9-23:30
260,ce29e5ef-0315-4884-aa2a-acfdefa8b66b,11-15:30/19-24
261,a88b4c42-8dd1-463f-b454-23dca127cb32,Oct-24
262,ba526f14-38e1-4699-ad80-52074037b13c,19-24
263,8103c8ad-8cba-4549-9402-8da025d0797a,Sep-24
264,152306cf-aeb7-425d-9ba7-eb903410d54d,Dec-24
265,f3eaba40-284c-4a59-b472-ceeb62247c54,11:30-24
266,21e79162-24b1-44df-a2f9-8d8478481aa4,14-24
267,08a1b589-72af-407b-9afe-c717b97ecbf2,Dec-24
268,92427f47-b2b1-4d6c-815e-cd518d392a4c,Dec-24
