,id,name
212,5a63fe2f-66b5-46f7-a471-445bb8fa7549,روژانو
213,e94d72e8-718d-4ff6-aae9-6170a578c8e1,حیاط شماره 65
214,cc6c1c4b-c61f-475a-ab4b-b6ae60f04ad0,لوزان
215,d7d57d2b-1d5d-4be9-ba20-627a1fc3f2aa,این
216,fb150cc7-ba80-4eec-9c38-2c21753a8698,آر بی برگر
217,8ac6efa7-6929-49d3-9a80-093ad32ecebd,اینجا
218,46bf5663-38dd-4e93-8b31-5143b465ba41,بیگ بوی
219,b0e612d0-4060-4ea4-ba39-f11755f7853f,بیژن
220,6347dc1b-5873-4242-b602-55ed8a1f7569,گرین بین
221,182a1dd9-19e0-4987-b613-072ad6cf0eb8,گعده
222,ca32de0e-3a37-48f2-baf0-c955d6663bdf,الیستا
223,83299924-b68e-42f2-8da7-56451e04c368,اوژن
224,c696bbbe-b416-4738-a529-c46d2fe3608e,پیتزا رضا
225,e9258adf-0b0f-4979-9ddc-1b724bdb29d7,سروژ
226,95166e6e-77e5-41c8-bd22-f9ea32c842f4,چلوگ
227,277d3d11-fe4b-4307-a6e0-3a73eeda0a0a,دییر فکتوری
228,0ebe526e-8413-493c-b238-1eb6d4031aa6,کاما
229,a28d2ff1-5593-44e4-91cf-4a53aedefdd5,ژیرا
230,75403e15-a835-53f5-2cba-d41450210a2b,عروس لبنان
231,dedaf1f6-0ffc-4322-a237-bc1ce9d5e78f,تاشه آلمانی
232,7388f5c4-7695-47c3-9496-0918b706a4a6,توراکو
233,aed81256-cc95-4a59-a566-756c8c833ec9,کافه قنادی لرد 
234,d5a10b9d-0f37-42c1-a812-d2642bc900cb,عروس لبنان
235,a8ee47d6-c6b1-42e2-9706-12e42ad36e83,مان زا
236,bc9940a7-6722-40ce-907d-0ad373843cf0,زند (کریمخان)
237,c60713fa-5095-434c-b9df-8c7e4fa9c2f0,اِران
238,9a853c77-4834-4d6a-9f1f-172545ef13da,پیتزا سورن
239,143fe73f-524a-44ca-ab7e-2bca9757834b,کباب سرای اندیشه
240,48ac31de-abb4-496e-8df4-ad784bf715bd,ث
241,c50452be-1612-4490-a592-d5e014026961,طلایی
242,e2cf1a2b-df8c-4667-a449-ba5599a05e51,مینیون
243,2303b7dc-8c0e-461e-88c6-821e6e636a7a,طلایی
244,46f91ffe-eb98-2ca8-d979-5d7dddf27a95,زرچ
245,ff5e6feb-68bf-41b1-b9aa-ebacd85124bd,ریشه
246,d3036612-8ba5-49a4-9655-90f75acff4fb,تلما
247,84a43082-ef5b-4053-9a6d-a2749f5ee55f,کارفه
248,66bd67d9-af5a-4343-8ba1-53b511fa6708,3 تی (کریمخان)
249,f43c499f-f0b8-488f-9a9f-3d6d5bf438ff,دانمارکی(ویلا)
250,868e5751-d874-4a9d-bb2c-8660ec5c8455,کیوب برگر
251,f16001bf-f016-4385-9801-6214b87ccee9,آنسو
252,0cccd307-bda6-440d-be47-b090224c5859,مدرن (میرزای شیرازی)
253,ba9bea89-f1ce-429c-b929-1869bdb93305,دیزی سرای طهران تهران
254,49d736d9-3a43-4d85-89d8-907a14cebe6d,فرد توکلی
255,528bda0e-6e71-41e3-8431-4b715d65c2dd,شانیا
256,714eb93e-4b2b-4388-a0dd-8fb6c25863e8,قاطی پلو
257,29134147-a6b2-4620-824c-14fa429ce171,طباخی کلپچ
258,0a39ea8f-1b33-454a-bb73-914a43c80a56,باور
259,6bcb8c4b-fd3c-4a86-994c-2b62387112ac,بیسترو پاپ
260,75b57577-3550-4dec-874b-443be96fdd36,بابربرگر(فردوسی)
261,18ca49a1-ffce-46c4-bc5f-886a49fda216,خانه پاپریکا
262,0cbb495e-26df-4173-8056-3e483e938de4,هانس
263,1e95aa88-e955-4460-984c-22a8c0b1c995,گودو یاس
264,d2225f4f-ec52-4ca2-9895-bda1ad7f4678,بوفه کتاب مکتب تهران
265,a3550fa4-efd1-4ccd-a7d2-5a24f23c4cff,آبتین
266,6777a659-b267-45ec-8147-dcced0bc3879,فیلم کلاسیک
267,a01e5a8f-eeb6-47cc-935d-9dc19ff53bc4,ویونا(دریای نور)
268,655e55f5-b7b9-4edd-b78d-e9d72ec13ac4,کافه وصال
269,257724a3-7c53-5413-d82e-2c4d5850d820,لئون 1960 (آبان جنوبی)
270,51567245-efe2-49f4-8514-310400302d41,ناتور
271,29a49855-aa66-4109-8ac4-bf6fcd06a59e,دیسفان
272,d9885f23-ad24-4c20-915f-cc9e2a52f761,نخلک
273,f94722d9-df07-4ba8-907d-034d6c844658,خوچمچه (مطهری)
274,5c59a726-8a49-4966-a085-2f7af0c4075f,ترک دنر (مطهری)
275,54b41a43-5e29-5d6a-3fa4-64210901ee76,نایب آبان
276,81cd4abd-e17e-4ce9-9412-cb14e561a394,سماق
277,1aa6f71b-6f15-4bb2-bc28-68237caf3559,یازده قدیم
278,4bf95a4a-1ab0-4f2a-ad1c-208260ec6151,تیلیت 
279,85a2ca3f-a7c1-4b9a-839b-2e56833f3a0f,دیزی سرای قصر
280,ac12c0ea-0222-41ec-bb15-d0419f5fa421,دایمند
281,40accdaf-a282-4f7d-9ff1-c2f1c9faf1dd,بیت بیسترو
282,936a0479-5497-45b0-ab75-8bd763bbeb4e,دلنوازان (سهروردی)
283,1c3983f0-af6f-4808-859b-581781cd02f2,پیتزا علاالدین (فودکورت علاالدین)
284,c9f0210c-c73a-47ef-8d81-c94b88d46323,کلبه
285,32fd6561-f1b3-49cf-9bea-15b1e9add002,باوان
286,4d851433-6a20-4b60-ba29-6d7867286353,آموره
287,f6281e1a-cee7-4c97-b14f-11aef31a2324,شید
288,12222664-98dc-4676-9102-70e901c4276a,خوش بین(حسن رشتی)
289,b5d36467-c352-4ac5-bda2-a62964226bb7,شبهای لارستان
290,18d041b0-86b9-4cc1-b537-4f169e9f60f1,بهار
291,99a781bc-2eae-45fc-b05c-6b9664fd8400,اینجا برگر
292,b96001ff-c9c9-911b-eb06-7386afa6afdc,البرز
293,8eb3a932-31e0-4105-b72f-a201f7bbf093,منصور
294,0ee71d15-d9a3-4275-bb92-db610cc8c961,بیسکاتی
295,58e7f7c2-09d9-42f8-9133-1dea7f3bceae,سلام پیتزا
296,e5ae0425-13d8-49e2-a5d8-f5cde6b1339b,روحی (باغ نگارستان)
297,42c712c6-515a-432e-8360-992181275fd0,روحی
298,6f9993f5-a5fe-41d9-97df-8173c648493d,آروما (بهشتی)
299,cffc21fc-bf46-4db0-81a8-663f618f8b7c,شاوور (معلم)
300,9ea1232d-ae53-42d5-b02d-12c9a0334ffb,رز برگر (حشمتیه)
301,60b972b5-739f-4747-a378-a7ca3e02cf3a,آگر
302,d2c224f8-52a0-4113-a38a-2f3c0410ee50,امیرگریل
303,728805fe-5f18-47f4-bca3-3ee001e9d960,لاوان
304,bbb4202f-c6d2-44c8-b470-251297b29f39,خانه سرهنگ
305,2869a396-91e7-4df6-856a-33c5e16b97c8,امیر انفجار (طالقانی)
