,Unnamed: 0,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8
73,73,39494b12-6f23-4b6b-9749-922f7032f8f4,آکاژو,https://2.fidilio.com/storage/images/thumbs/39494b12-6f23-4b6b-9749-922f7032f8f4_0.jpg,[1],['ایتالیایی'],36.29889,59.49072,False,6.7,2,بلوار هاشمیه ، هاشمیه 91/1 ، دور میدان سمت چپ,False,مشهد,False,akajoo-mashhad,False,1,0,0,0,0,0,0,0
74,74,61d7d622-a4c1-4bd5-9590-860bab4f7c01,1860,https://2.fidilio.com/storage/images/thumbs/61d7d622-a4c1-4bd5-9590-860bab4f7c01_0.jpg,[2],['کافه'],36.3016129,59.4854851,False,8.600000381469727,2,هاشمیه 91/5 ، خیابان سوم سمت چپ ، قطعه آخر ,False,مشهد,False,cafe1860-mashhad,False,0,1,0,0,0,0,0,0
75,75,8362a2b4-a11e-44f1-aa99-5c5876ed0aa6,الف,https://2.fidilio.com/storage/images/thumbs/8362a2b4-a11e-44f1-aa99-5c5876ed0aa6_0.jpg,[1],['ایتالیایی'],36.3273926,59.4861374,False,3.8,3,بلوار وکیل آباد ، وکیل آباد 10 ، خیابان لاله ,False,مشهد,False,aleph-mashahd,False,1,0,0,0,0,0,0,0
76,76,abe1b474-beed-4f6d-95c2-e6c62dad9ddb,رترو (مشهد),https://2.fidilio.com/storage/images/thumbs/abe1b474-beed-4f6d-95c2-e6c62dad9ddb_0.jpg,[2],[],36.3321533,59.4655,False,6.7,2,بلوار پیروزی ، بین پیروزی 79 و 81 ، شماره 79 ,False,مشهد,False,retro-mashhad,False,0,1,0,0,0,0,0,0
77,77,3e216c5d-e66d-4e16-9e2d-53badb787672,پای,https://2.fidilio.com/storage/images/thumbs/3e216c5d-e66d-4e16-9e2d-53badb787672_0.jpg,[1],['ایتالیایی'],36.33867,59.4671059,False,6.7,2,وکیل آباد، بین خیابان ۷۷ و ۷۹، پلاک ۴۸,False,مشهد,False,pie-mashhad,False,1,0,0,0,0,0,0,0
78,78,3cd6f830-b1b2-43fd-b7ca-8edddf567b80,مینوسا,https://2.fidilio.com/storage/images/thumbs/3cd6f830-b1b2-43fd-b7ca-8edddf567b80_0.jpg,[1],['ایرانی'],36.33392,59.4301033,False,0.0,3,طرقبه ، نبش امام رضا 18,False,ویلا شهر,False,minousa-mashhad,False,1,0,0,0,0,0,0,0
79,79,54cb4130-cc86-4196-b511-5b668b52cfcc,گنجعلی خان,https://2.fidilio.com/storage/images/thumbs/54cb4130-cc86-4196-b511-5b668b52cfcc_0.jpg,[1],"['سفره خانه', 'ایرانی']",36.30937,59.3624725,False,0.0,2,طرقبه ، ابتدای پل طرقدر,False,طرقدر,False,ganjalikhanmh,False,1,0,0,0,0,0,0,0
80,80,c2b17788-0678-41f6-aaba-829ca87b1442,شبدیز (طرقبه),https://2.fidilio.com/storage/images/thumbs/c2b17788-0678-41f6-aaba-829ca87b1442_0.jpg,[1],"['سفره خانه', 'ایرانی']",36.31203,59.35149,False,6.7,3,طرقبه ، نبش عنبران 3,False,نگین,False,shabdiz-restaurant-torghabe,False,1,0,0,0,0,0,0,0
81,81,1c77a100-793e-4811-8023-f40a292a674d,هنگامه ,https://2.fidilio.com/storage/images/thumbs/1c77a100-793e-4811-8023-f40a292a674d_0.jpg,[1],"['سفره خانه', 'ایرانی']",36.3130226,59.3357239,False,0.0,2,مشهد-اول جاده جاغرق سمت راست,False,جاغرق,False,hengameh,False,1,0,0,0,0,0,0,0
82,82,8677f5b0-0916-45d9-85aa-38d9aeb0dbfc,تشریفات,https://2.fidilio.com/storage/images/thumbs/8677f5b0-0916-45d9-85aa-38d9aeb0dbfc_0.jpg,[1],['ایرانی'],36.31354,59.3310928,False,7.5,3,مشهد.طرقبه ، ۵۰۰متر مانده به جاغرق ، سمت چپ ، مجموعه پذیرایی تشریفات,False,جاغرق,False,tashrifatmashhad,False,1,0,0,0,0,0,0,0
83,83,553e4e9b-57b5-403c-80aa-eedd5be152d9,سید و پسران جاغرق,https://2.fidilio.com/storage/images/thumbs/553e4e9b-57b5-403c-80aa-eedd5be152d9_0.jpg,[1],"['سفره خانه', 'ایرانی']",36.3130341,59.3273735,False,6.7,2,مشهد.نرسیده به جاغرق،سمت چپ رودخانه,False,جاغرق,False,jaghoroghmashhad,False,1,0,0,0,0,0,0,0
84,84,b1d8a4a5-708e-4689-978b-0700469b3ce8,تخت جمشید شاندیز,https://2.fidilio.com/storage/Images/thumbs/6006e4a9-d22e-4508-892f-edafc006b0d3.jpg,[1],['ایرانی'],36.4124069,59.3499031,False,0.0,2,"ابتدای شاندیز،حدفاصل امام رضا ۳ و ۵
",False,روستای حصار سرخ,False,takhtjamshid-shandiz,False,1,0,0,0,0,0,0,0
85,85,43819432-9c60-459f-81d1-aa7898feacd6,باغ سالار(مشهد),https://2.fidilio.com/storage/images/thumbs/43819432-9c60-459f-81d1-aa7898feacd6_0.jpg,[1],['ایرانی'],36.4062424,59.34145,False,0.0,3,جاده شاندیز، بین امام رضا ۸ و ۱۰,False,روستای حصار سرخ,False,baghsalarmashhad,False,1,0,0,0,0,0,0,0
86,86,6183808e-1c10-4a1b-a28a-b2c7223b85a4,شایان شاندیز,https://2.fidilio.com/storage/images/thumbs/6183808e-1c10-4a1b-a28a-b2c7223b85a4_0.jpg,[1],"['سفره خانه', 'ایرانی']",36.3960533,59.3172226,False,8.199999809265137,3,نرسیده به شاندیز ، قبل از میدان پدیده ,False,شاندیز,False,shayanshandiz-mashhad,False,1,0,0,0,0,0,0,0
87,87,b245502f-b3da-44f2-9399-2faf649f0ea2,ارم (شاندیز),https://2.fidilio.com/storage/images/thumbs/b245502f-b3da-44f2-9399-2faf649f0ea2_0.jpg,[1],['ایرانی'],36.3957062,59.3116646,False,7.5,2,شاندیز، نرسیده به میدان دوم,False,شاندیز,False,eramshandiz,False,1,0,0,0,0,0,0,0
88,88,91564b20-6710-4f1f-98d8-5c1af1b30fc3,دیدارشاندیز(مشهد),https://2.fidilio.com/storage/images/thumbs/91564b20-6710-4f1f-98d8-5c1af1b30fc3_0.jpg,[1],['ایرانی'],36.39759,59.30499,False,0.0,2,مشهد، شاندیز، انتهای بلوار آبشار,False,شاندیز,False,Didarshandiz,False,1,0,0,0,0,0,0,0
89,89,6150891a-9306-4427-84ee-760932f0f18e,حسین شیشلیکی,https://2.fidilio.com/storage/images/thumbs/6150891a-9306-4427-84ee-760932f0f18e_0.jpg,[1],['ایرانی'],36.3947067,59.2955322,False,7.300000190734863,3,نرسیده به میدان دوم ، روبروی بهداری ، جنب بتنک صادرات ,False,شاندیز,False,hosein-shishliki-mashhad,False,1,0,0,0,0,0,0,0
90,90,54b73ded-c13a-40ac-b7bf-17b66f5a7762,کوروش vip (مشهد),https://2.fidilio.com/storage/Images/thumbs/2f8609a7-0f73-4bb4-bc00-625ed7850781.jpg,[1],['ایرانی'],36.37831,59.26167,False,0.0,2,شاندیز، ییلاق ابرده,False,ابرده,False,kourosh_mashhad,False,1,0,0,0,0,0,0,0
91,91,28f059e1-3710-42d2-8ac2-0a65240cd273,مهستان,https://2.fidilio.com/storage/Images/thumbs/9b3d1306-ad6a-476f-b778-68b5da960cbd.jpg,[1],"['سفره خانه', 'ایرانی']",36.371788,59.258,False,8.1,2, شاندیز، جاده ییلاقی ابرده، ابرده 10,False,ابرده,False,mahestan,False,1,0,0,0,0,0,0,0
